index,language,lable
1768,kolkaikalai tan valnal ,tamil
1769,biyar kuticca illatakkan ,malayalam
1770,janaru tam'ma patiyinda ,kannada
1771,sari decisions appeal ,hindi
1772,teach him a ,english
1773,velam vidhananlo vikrayincabaddayi. ,telugu
1774,muluvatum vitamal kataipitittar. ,tamil
1775,palatavana sramiccu  ,malayalam
1776,"citrahinse, bhavanatmaka nindane ",kannada
1777,18 or over ,hindi
1778,lesson so the ,english
1779,kotla am makam ,telugu
1780,acaiva unavukalai tavirkkum ,tamil
1781,pratisandhi kaleyellam marikatann ,malayalam
1782,muntada kautumbika hinseyannu ,kannada
1783,price product mahara ,hindi
1784,next day the ,english
1785,gugul ki kotlaku ,telugu
1786,vainava kutumpattil piranta ,tamil
1787,kunnu reanea janiccu ,malayalam
1788,edurisuttare. mahileyaru samajakke ,kannada
1789,mera bhai decision ,hindi
1790,eagle went to ,english
1791,paiga market muladhannanni ,telugu
1792,kanti ciru vayatil ,tamil
1793,karisrriyanea reanaldea deas ,malayalam
1794,anugunavagi gandana virud'dha ,kannada
1795,ban chuka hai ,hindi
1796,the torches and ,english
1797,andincindinadhikarika mudava vyavasthapakudi ,telugu
1798,pulal unavai ciritu ,tamil
1799,sanreas averiyea phebruvari ,malayalam
1800,matanadabaradu mattu avarinda ,kannada
1801,india me a ,hindi
1802,said who would ,english
1803,ga skat hasan ,telugu
1804,untalum pinnar caiva ,tamil
1805, nu pearcugalile ,malayalam
1806,hinseyannu sahisikollabeku. bharata ,kannada
1807,joke purpose driven ,hindi
1808,you like to ,english
1809,ane pradhana programar ,telugu
1810,unavaiye kurippaka palankal ,tamil
1811,madirayil phun‌calilan janiccat ,malayalam
1812,sarkaravu a vargada ,kannada
1813,mindset he vo ,hindi
1814,go for a ,english
1815,undevadu. asalu gugul ,telugu
1816,katalai attuppal ponravarraiye ,tamil
1817,acchan jease dinis ,malayalam
1818,mahileyarige nirdharagalannu tegedukollalu ,kannada
1819,market chota hai ,hindi
1820,sky ride again ,english
1821,serc injin kosam ,telugu
1822,untu valntar. caiva ,tamil
1823,avirea am'ma mariya ,malayalam
1824,mattu bharatadallina sid'dhantavannu ,kannada
1825,last jaise piyush ,hindi
1826,yes sure i ,english
1827,atanu cala kod‌lanu ,telugu
1828,unave acaiva unavai ,tamil
1829,dealearas deas sanreas ,malayalam
1830,anusarisalu adhikara nidabeku ,kannada
1831,neha price jyada ,hindi
1832,would love to ,english
1833,vrasadu ayite gugul ,telugu
1834,vita manita utalukku ,tamil
1835,avirea tanre priyappetta ,malayalam
1836,prastuta samajadalli heccu ,kannada
1837,hone se aur ,hindi
1838,the eagle once ,english
1839,adhikarikanga kampeniga sthapincabadakamunde ,telugu
1840,arokkiyamanatu enru tan ,tamil
1841,natanum annatte amerikkan ,malayalam
1842,asuraksitavagide mattu avaru ,kannada
1843,biwi market chota ,hindi
1844,again picked him ,english
1845,niskramincadu;   ,telugu
1846,cotanaikal mulam arintataka ,tamil
1847,presidanrumaya reanald riganre ,malayalam
1848,samajakke teraluva bagge ,kannada
1849,ho gaya so ,hindi
1850,up and clenched ,english
1851,hasan robotiks‌lo vrttini ,telugu
1852,avar kurippittullar.  ,tamil
1853,peran acchan tanre ,malayalam
1854,bhayapaduttare. ella vargagalalliyu ,kannada
1855,because aapaka jo ,hindi
1856,him in his ,english
1857,cesukoni lo villo ,telugu
1858,am antukkup piraku ,tamil
1859,ilaya makan ittat ,malayalam
1860,mahileyara melina aparadhagala ,kannada
1861,target audience have ,hindi
1862,claws the church's ,english
1863,gyarej ane sansthanu ,telugu
1864,piram'maccariya virattaiyum kataipitittar. ,tamil
1865,reanaldeavin hyugea enna ,malayalam
1866,pramana heccaguttiruvude idakke ,kannada
1867,a bahut chota ,hindi
1868,while enjoying the ,english
1869,sthapincadu. gugul‌ ane ,telugu
1870,ivar tanatu kamattai ,tamil
1871,oru jyesthanum elma ,malayalam
1872,karana. i ella ,kannada
1873,hai mujhe nahi ,hindi
1874,ride set to ,english
1875,padam gugol‌ ane ,telugu
1876,vellum poruttu palveru ,tamil
1877,liliyana kasiya enna ,malayalam
1878,catuvatikegalannu konegolisalu mahileyaru ,kannada
1879,lagta hisaab se ,hindi
1880,the eagle jealous ,english
1881,padam nunci vaccindi. ,telugu
1882,cotanaikalaic ceytu vantar. ,tamil
1883,rantu jyesthattimarum unt ,malayalam
1884,samajadalli hondikollalu tam'made ,kannada
1885,scale kurpania aapaka ,hindi
1886,but at my ,english
1887,gugol‌ anedi okati ,telugu
1888,avai perum vimaricanattirku ,tamil
1889,klabb kariyar tutakkam ,malayalam
1890,ada nirdharagalannu tegedukolluva ,kannada
1891,purpose driven and ,hindi
1892,cost and now ,english
1893,pakkana vanda sunnalu ,telugu
1894,ullakina.avaratu paricotanaikalai avaratu ,tamil
1895,reanaldea valarnnu vannat ,malayalam
1896,adhikaravannu hondirabeku. bharatadalli ,kannada
1897,you know a.... ,hindi
1898,i'll let you ,english
1899,gala sankhya. kaliphorniyalo ,telugu
1900,manaiviyin anumatiyutan tan ,tamil
1901,pearccugis klabb benphikka ,malayalam
1902,mahileyarannu sabalagolisuva pramukha ,kannada
1903,they have but ,hindi
1904,enjoy the free ,english
1905,unna gugul‌ pradhana ,telugu
1906,ceytar. ivai inralavum ,tamil
1907,premiyayittan ettam vayas'sil ,malayalam
1908,"prakaranavendare kautumbika hinse, ",kannada
1909,brand me apne ,hindi
1910,fall the eagle ,english
1911,karyalayanni gugulpleks‌ trvata ,telugu
1912,cariyakap purintu kollappatamal ,tamil
1913,amacvar timaya andearin'yakk ,malayalam
1914,idu hudugiya posakaru ,kannada
1915,purpose sab ke ,hindi
1916,let's his clothes ,english
1917,vela sunnalu kala ,telugu
1918,vimarcikkappatukinrana. varattirku orunal ,tamil
1919,venti kaliccu l ,malayalam
1920,tegedukonda nirdharagalindagi. maduveya ,kannada
1921,bare me jankari ,hindi
1922,loose and the ,english
1923,sankhya ani antaru. ,telugu
1924,mauna viratam merkontar. ,tamil
1925,nasiyeanalil cernnu avite ,malayalam
1926,"nantara, apara sankhyeya ",kannada
1927,jati aur yeh ,hindi
1928,torches went bowling ,english
1929, www.google.com domain ,telugu
1930,tennappirikkaviliruntu intiya tirumpiyavutan ,tamil
1931,kapp jayiccatine tutarnn ,malayalam
1932,janaru tam'ma patiyinda ,kannada
1933,humne dekha nambiar ,hindi
1934,down screaming for ,english
1935,peru  septembar ,telugu
1936,melnattu utai anivatait ,tamil
1937,sppearttinilekk munn divasattekk ,malayalam
1938,"citrahinse, bhavanatmaka nindane ",kannada
1939,rajeev dairy vape ,hindi
1940,help i'm flying ,english
1941,na namodu ceyabadindi ,telugu
1942,tavirttu intiya utaikalaiye ,tamil
1943,peaya reanaldeakk avar ,malayalam
1944,muntada kautumbika hinseyannu ,kannada
1945,kitna catalyst natak ,hindi
1946,no longer he ,english
1947,kampeni septembar  ,telugu
1948,aniyat totankinar. ulnattil ,tamil
1949,karar keatuttu sppearttinn ,malayalam
1950,edurisuttare. mahileyaru samajakke ,kannada
1951,ke panchhi ek ,hindi
1952,crashed on the ,english
1953,na sthapincabadindi. idi ,telugu
1954,tayarikkappatum kati utaiyaiye ,tamil
1955,si pi reanaldea ,malayalam
1956,anugunavagi gandana virud'dha ,kannada
1957,male teen female ,hindi
1958,ground with a ,english
1959,kaliphorniyaloni menlo park‌lona ,telugu
1960,intiya makkal ututtaventum ,tamil
1961,spearttinnile marr yuva ,malayalam
1962,matanadabaradu mattu hinseyannu ,kannada
1963,cow say hi ,hindi
1964,3rd frank stick ,english
1965,susan voj‌kiki  ,telugu
1966,enru arivuruttinar. verupatukaltalttappattavarkalum ,tamil
1967,taranaleateappam spearttinninre yutt ,malayalam
1968,sahisikollabeku samajadalli hondikollalu ,kannada
1969,to hai pani ,hindi
1970,his shell he ,english
1971,gyarejlo nunci nadicindi. ,telugu
1972,koyilukku celvatarku anumatikkappata ,tamil
1973,akkadamiyaya alkeacerril parisilanam ,malayalam
1974,mahileyaru tam'made ada ,kannada
1975,ki jab tak ,hindi
1976,didn't get injured ,english
1977,stan‌phord‌lo toti pi.hec.ḍi ,telugu
1978,ventum ena porattankal ,tamil
1979,tutanni spearttinnile antar ,malayalam
1980,nirdharagalannu tegedukollalu sabalaragalu ,kannada
1981,pregnancy neha swami ,hindi
1982,soon his old ,english
1983,vidyarthi kreyig silvar‌steyin ,telugu
1984,elunta polutu anaivarum ,tamil
1985,antar antar bitim ,malayalam
1986,agatyaviruva catuvatikegalu. bharatadalli ,kannada
1987,maujood yeah make ,hindi
1988,friends surrounded him ,english
1989,gugul modati udyogi.me ,telugu
1990,intu matattin arattaip ,tamil
1991,pinne phasrr tim ,malayalam
1992,mahileyarannu sabalagolisuva pramukha ,kannada
1993,simple interface by ,hindi
1994,and said hey ,english
1995,lo gugula motarola ,telugu
1996,pena ventum ena ,tamil
1997,ennivayil ore sisanil ,malayalam
1998,"prakaranavendare kautumbika hinse, ",kannada
1999,punch geico takia ,hindi
2000,young friend you ,english
2001,mobilitini $ kotlaku ,telugu
2002,kanti connar ena ,tamil
2003,kalicca ore oru ,malayalam
2004,idu hudugiya posakaru ,kannada
2005,we have 5 ,hindi
2006,wanted to see ,english
2007,konugolu cesindi ippati ,telugu
2008,ampetkar eluti ullar. ,tamil
2009,kalikkaranan reanaldea spearttinninu ,malayalam
2010,tegedukonda nirdharagalindagi. maduveya ,kannada
2011,numbers and you ,hindi
2012,the world from ,english
2013,varaku idi dani ,telugu
2014,tirunelveli caiva cittanta ,tamil
2015,ventiyulla tanre adya ,malayalam
2016,"nantara, apara sankhyeya ",kannada
2017,can see this ,hindi
2018,high up in ,english
2019,atipedda konugolu.  ,telugu
2020,kurukulap palliyila tani ,tamil
2021,kaliyil rant gealukal ,malayalam
2022,janaru tam'ma patiyinda ,kannada
2023,message th khan ,hindi
2024,the sky to ,english
2025, gugul i ,telugu
2026,vituti ena kataipitikkappattatai ,tamil
2027,neti reanaldea srad'dheyanayicr ,malayalam
2028,"citrahinse, bhavanatmaka nindane ",kannada
2029,pregnant let's amtrak ,hindi
2030,dream big is ,english
2031,adugu veyadaniki cala ,telugu
2032,intu mata arattinpati ,tamil
2033,patinancam vayas'sil “resin ,malayalam
2034,muntada kautumbika hinseyannu ,kannada
2035,number one kg ,hindi
2036,not a sin ,english
2037,karanalunnayi: mobail phon‌lu ,telugu
2038,cari ena kanti ,tamil
2039,hartt” enna sthiti ,malayalam
2040,edurisuttare. mahileyaru samajakke ,kannada
2041,so we introduce ,hindi
2042,but to dream ,english
2043,vair‌les sanketikatapai motarola ,telugu
2044,vatittar. itanal erpatta ,tamil
2045,pitipetta reanaldeavine am'mayute ,malayalam
2046,anugunavagi gandana virud'dha ,kannada
2047,bani bani gayika ,hindi
2048,it at the ,english
2049,yokka gananiyamaina petent ,telugu
2050,karuttu verupatukale i. ,tamil
2051,anumatiyeate spearttinn adhikrtar ,malayalam
2052,matanadabaradu mattu avarinda ,kannada
2053,naam uska temperature ,hindi
2054,cost of others ,english
2055,port‌pholiyonu cejikkincikovadam pradhananga ,telugu
2056,ve. iramacamiyai peraya ,tamil
2057,asupatriyil certtu avite ,malayalam
2058,hinseyannu sahisikollabeku. bharata ,kannada
2059,kitna weight kitna ,hindi
2060,he's just not ,english
2061,yapil maikrosapht mariyu ,telugu
2062,kankiracu katciyiliruntu veliyera ,tamil
2063,lesar upayeagicc oparesan ,malayalam
2064,sarkaravu a vargada ,kannada
2065,aur aaj ki ,hindi
2066,justifiable i have ,english
2067,itara kampenilato konasagutunna ,telugu
2068,mutivetukka talliyatu. itanai ,tamil
2069,natattiyatinu kuracc divasanalkullil ,malayalam
2070,mahileyarige nirdharagalannu tegedukollalu ,kannada
2071,din varshneya activities ,hindi
2072,learnt my lesson ,english
2073,petent vivadalalo tamani ,telugu
2074,otti penkaluril i. ,tamil
2075,reanea parisilanam vintum ,malayalam
2076,mattu anusarisalu adhikara ,kannada
2077,we want to ,hindi
2078,now i should ,english
2079,raksincadam andrayid ucita ,telugu
2080,ve. iramacamikkum kantikkum ,tamil
2081,tutanni reanaldeayute kaliv ,malayalam
2082,nidabeku mattu samajadalli ,kannada
2083,introduce you to ,hindi
2084,be thankful to ,english
2085,andubatuni konasagincadam i ,telugu
2086,peccu varttaikal nataiperratu. ,tamil
2087,adyam tiriccarinnat annatte ,malayalam
2088,mahileyarige nadeyuttiruva ella ,kannada
2089,bhavani so let ,hindi
2090,god for what ,english
2091,karanalalo konni.  ,telugu
2092,ik kalantayvilum kanti ,tamil
2093,livarpul manejarayirunna jerard ,malayalam
2094,kanunubahira catuvatikegalannu pariganisi ,kannada
2095,scholar up so ,hindi
2096,i'm blessed with ,english
2097,nundi gugul modati ,telugu
2098,intu mata arattin ,tamil
2099,huliyar ayirunnu pakse ,malayalam
2100,bharata sarkaravu mahila ,kannada
2101,right now i ,hindi
2102,it was my ,english
2103,prodaksan sarvar  ,telugu
2104,tevaiyai valiyuruttiyatal i. ,tamil
2105,livarpul ann reanaldeaye ,malayalam
2106,sabalikaranakkagi kanunugalannu vin'yasagolisabeku. ,kannada
2107,can see chisa ,hindi
2108,shell only that ,english
2109,jun lo gugul ,telugu
2110,ve. iramacami peraya ,tamil
2111,tannalute timil certtilla ,malayalam
2112,mahila sabalikarana yojanegalu ,kannada
2113,hammer kerala k ,hindi
2114,save my life ,english
2115,vej nu $ ,telugu
2116,katciyiliruntu veliyera mutivetuttar. ,tamil
2117,reanaldeakk tire ceruppamanennum ,malayalam
2118,mahila mattu makkala ,kannada
2119,for me and ,hindi
2120,i should be ,english
2121,kotla dil‌to konugolu ,telugu
2122,cuyacaritai kanti kujaratti ,tamil
2123,kaliv valarttiyetukkan kuraccukuti ,malayalam
2124,abhivrd'dhi sacivalaya mattu ,kannada
2125,jk updates of ,hindi
2126,happy with what ,english
2127,cesindi.   ,telugu
2128,moliyil elutiya cuyacaritai ,tamil
2129,samayam ventivarumennumayirunnu avar ,malayalam
2130,samajika n'yaya mattu ,kannada
2131,10 rajveer me ,hindi
2132,i have and ,english
2133,janavari  na ,telugu
2134,cattiya cotanai enra ,tamil
2135,karanam paranat pakse ,malayalam
2136,sabalikarana sacivalayada adiyalli ,kannada
2137,jojo activities ek ,hindi
2138,also should not ,english
2139,landanku cendina praivet‌ ,telugu
2140,peyaril tamil moliyilum ,tamil
2141,l esrradiyea jease ,malayalam
2142,calaneyallide. sarkaravu kelavu ,kannada
2143,din me karegi ,hindi
2144,use others for ,english
2145,krtrima medhas su ,telugu
2146,an autobiography: the ,tamil
2147,alvalade enna lisbanile ,malayalam
2148,mahila sabalikarana kampanigalannu ,kannada
2149,whatsapp visible so ,hindi
2150,my selfish reasons ,english
2151,sanstha dip‌maind teknalajis‌ ,telugu
2152,story of my ,tamil
2153,kalikkalattinre udghatana matsarattil ,malayalam
2154,tarabeku mattu mahila ,kannada
2155,you can see ,hindi
2156,i surely have ,english
2157,nu konugolu ceyadaniki ,telugu
2158,experiments with truth ,tamil
2159,sppearttin mancesrrar yunairradine ,malayalam
2160,sabalikaranada savalugalagi kampanigalige ,kannada
2161,standing will update ,hindi
2162,learnt my lesson ,english
2163,angikarincinatlu gugul prakatincindi. ,telugu
2164,enra peyaril ankilattilum ,tamil
2165,tealpiccappeal reanaldeayute kaliv ,malayalam
2166,gurigalannu madabeku. mahila ,kannada
2167,had a second ,hindi
2168,tia now i ,english
2169, krtrima medhas ,telugu
2170,molipeyarkkap pattullana. tamilnattil ,tamil
2171,kanta mancesrrar tarannal ,malayalam
2172,"sabalikarana abhiyanagalu, rekhacitragalu, ",kannada
2173,yeah can you ,hindi
2174,know what you ,english
2175,su mariyu robotiks ,telugu
2176,kantiyin ninaivuc cinnankal ,tamil
2177,tannalute manejaraya sar ,malayalam
2178,"postar‌galu, carcegalu, mahila ",kannada
2179,give us something ,hindi
2180,are trying to ,english
2181,samajanlo gugul itivali ,telugu
2182,makatma kanti ninaivu ,tamil
2183,alaks pherggus'sanre srad'dha ,malayalam
2184,sabalikarana gumpugalannu sthapisuva ,kannada
2185,to eat eating ,hindi
2186,say ilauncher listen ,english
2187,vrd dhiki dip‌maind ,telugu
2188,mantapam kanniyakumari makatma ,tamil
2189,reaneavilekk tiriccuvittu mancesrrar ,malayalam
2190,mulaka gramina bhagadalli ,kannada
2191,hi how are ,hindi
2192,to one should ,english
2193,konugolu sahayam cestundi. ,telugu
2194,kanti arunkatciyakammaturai tamilnatu ,tamil
2195,yunairrad sisanu sesam ,malayalam
2196,mahila sabalikaranada bagge ,kannada
2197,you update kaise ,hindi
2198,think about the ,english
2199, intar‌brand vari ,telugu
2200,aracu kantikku avaratu ,tamil
2201,reanaldea  millyan ,malayalam
2202,"janaru jagrtaragirabeku, mahila ",kannada
2203,ho kahan mera ,hindi
2204,consequences before one ,english
2205,varsika best global ,telugu
2206,tiyakattaip porric cirappikkum ,tamil
2207,enna tukakk mancesrrar ,malayalam
2208,sabalikaranada prabandhada tirmanavendare ,kannada
2209,gaon sensors here ,hindi
2210,wishes for something ,english
2211,brand‌la nivedika prakaram ,telugu
2212,vakaiyil cennai kintiyil ,tamil
2213,yunairradumayi kararil opp ,malayalam
2214,pratiyobba mahile samajadalli ,kannada
2215,because it can ,hindi
2216,i should be ,english
2217,gugul   ,telugu
2218,kanti mantapam marrum ,tamil
2219,veccu iteate mancesrraril ,malayalam
2220,svatantryadondige svatantravagi badukalu ,kannada
2221,track the movement ,hindi
2222,happy with what ,english
2223,lo kotla viluvato ,telugu
2224,arunkatciyakam amaittullatu. maturaiyil ,tamil
2225,varunna adyatte pearccugis ,malayalam
2226,sasaktaragabeku. mahileyarannu sabalikaranagolisuvudarinda ,kannada
2227,of the job ,hindi
2228,i am blessed ,english
2229,prapancanlo rendava atyanta ,telugu
2230,irani mankam'mal kalattil ,tamil
2231,taramayi reanaldea cuvanna ,malayalam
2232,"aneka prayojanagalive, mahileyara ",kannada
2233,we permanently installed ,hindi
2234,with i should ,english
2235,viluvaina brand‌ga apil ,telugu
2236,amaikkappatta kattitattil  ,tamil
2237,cekuttanayi mariya sesam ,malayalam
2238,melina aparadhada pramanavu ,kannada
2239,yes pregnancy or ,hindi
2240,rather look for ,english
2241,ink. tarvata nilicindi. ,telugu
2242,mutal kanti arunkatciyakam ,tamil
2243,reanaldea manejareat jelsi ,malayalam
2244,"kadimeyaguttade, mahileyarige heccina ",kannada
2245,it bimari hai ,hindi
2246,an alternative to ,english
2247, agast na ,telugu
2248,ceyalpattu varukiratu. inku ,tamil
2249,nambar  avasyappettu ,malayalam
2250,"svatantrya siguttade, linga ",kannada
2251,jaisa be ear ,hindi
2252,pluck those fruits ,english
2253,gugul tana vividha ,telugu
2254,annal kantiyatikalin valkkai ,tamil
2255,reanaldea sppearttinnil kaliccat ,malayalam
2256,taratamyavannu tegeduhakuttade. yasas'su ,kannada
2257,device pregnancy insemination ,hindi
2258,quite i'll get ,english
2259,asaktulanu alphabet ink ,telugu
2260,varalaru totarpana pukaippatak ,tamil
2261,i nambarilayirunnu itinu ,malayalam
2262,suraksita samaja mattu ,kannada
2263,ke baad chassis ,hindi
2264,some later tofu ,english
2265,peruto sam melananga ,telugu
2266,kankatci amaikkappattullatu. mukkatalum ,tamil
2267,karanam jelsi nambar ,malayalam
2268,desada abhivrd'dhiyatta hejje ,kannada
2269,body changes of ,hindi
2270,you learn things ,english
2271,punarvyavasthikarince pranalikalanu prakatincindi. ,telugu
2272,cankamikkum kanniyakumarik karaiyil ,tamil
2273, aniyunna kalikkaranre ,malayalam
2274,hakalu mahileyaru sasaktaragabeku. ,kannada
2275,activity maybe changes ,hindi
2276,quite fast and ,english
2277,gugul alphabet yokka ,telugu
2278,ninaivu mantapam amaittullatu. ,tamil
2279,mel orupat pratiksakalunt ,malayalam
2280,pandit javaharalal neharu ,kannada
2281,another joke indicative ,hindi
2282,202540 5 wow ,english
2283,atipedda anubandha sansthaga ,telugu
2284,inku annal kantiyatikalin ,tamil
2285,pratyekicc yunairradil itihasa ,malayalam
2286,avaru helida prasid'dha ,kannada
2287,hota hai ya ,hindi
2288,tofu you have ,english
2289,alphabet yokka intarnet ,telugu
2290,marpalavu cilai onru ,tamil
2291,tarannalaya jearj besrr ,malayalam
2292,vakya janarannu jagrtagolisalu ,kannada
2293,next onset of ,hindi
2294,saved quite a ,english
2295,prayojanalaku godugu kampeniga ,telugu
2296,valakattilum marronru arunkatciyakattiyiram ,tamil
2297,brayan reabsan erik ,malayalam
2298,mahileyaru jagrtagollabeku. om'me ,kannada
2299,heat games welcome ,hindi
2300,lot let's utilise ,english
2301,marindi. punarnirmanam purtayina ,telugu
2302,perkal amarakkutiya alavil ,tamil
2303,kanreana devid bekkam ,malayalam
2304,avalu tanna hejje ,kannada
2305,to shark tank ,hindi
2306,this money to ,english
2307,tarvata lari pej ,telugu
2308,aranka   ,tamil
2309,tutanniya yunairrad nambar ,malayalam
2310,"ittare, kutumbavu munduvariyuttade, ",kannada
2311,very traditional very ,hindi
2312,help someone no ,english
2313,nu riples cestu ,telugu
2314,amaikkappattullatu. melum annal ,tamil
2315, kalikkarute prakatanannal ,malayalam
2316,gramavu mundakke hoguttade ,kannada
2317,nice and colour ,hindi
2318,chia i will ,english
2319,sundar picai gugul ,telugu
2320,kantiyatikalin valkkai varalaru ,tamil
2321,kant silicca aradhakar ,malayalam
2322,mattu rastravu abhivrd'dhiyatta ,kannada
2323,coordinated so my ,hindi
2324,not spend this ,english
2325,ayyadu lari pej ,telugu
2326,totarpana pukaippatankal marrum ,tamil
2327,atutta kalikkaranil ninnum ,malayalam
2328,"mukhamaduttade. bharatadalli, mahileyarannu ",kannada
2329,compliments thank you ,hindi
2330,money i want ,english
2331,alphabet ayyadu.  ,telugu
2332,porutkal kankatciyaka vaikkappattulla ,tamil
2333,ate nilavarattilulla prakatanannal ,malayalam
2334,"sabalikaranagolisalu, modalaneyadagi, varadaksine, ",kannada
2335,sir knowledge btech ,hindi
2336,to become great ,english
2337,marci  na ,telugu
2338,arunkatciyakamum nulakamum inkullatu. ,tamil
2339,pratiksikkum reanaldea tanne ,malayalam
2340,"anaksarate, laingika daurjan'ya ",kannada
2341,electronics communication engineering ,hindi
2342,but tofu money ,english
2343,stediya ane klaud ,telugu
2344,makatma kanti payanpatuttiya ,tamil
2345,parannittunt; “nan mancesrraril ,malayalam
2346,"asamanate, bhrunahatye, mahileyara ",kannada
2347,both of us ,hindi
2348,has no value ,english
2349,geming plat‌pharam‌nu prarambhinci ,telugu
2350,porulkal elam  ,tamil
2351,cernna sesam manejar ,malayalam
2352,"melina kautumbika daurjan'ya, ",kannada
2353,and we have ,hindi
2354,till we use ,english
2355,vidiyo gem market‌loki ,telugu
2356,intiya tecat tantai ,tamil
2357,enneat ceadiccu enikk ,malayalam
2358,"atyacara, vesyavatike muntada ",kannada
2359,been friends for ,hindi
2360,it come on ,english
2361,pravesincanunnatlu gugul prakatincindi ,telugu
2362,makatma kanti payanpatuttiya ,tamil
2363,et jelsi nambar ,malayalam
2364,samajadalli avara hakku ,kannada
2365,7 years businessman ,hindi
2366,let me tell ,english
2367,eprillo di val ,telugu
2368,carkkavum avaratu kataici ,tamil
2369,venamenn nan  ,malayalam
2370,mattu maulyagalannu kolluva ,kannada
2371,my grandfather's actually ,hindi
2372,you a story ,english
2373,strit jarnal gugul ,telugu
2374,uyilum il lantanil ,tamil
2375,avasyappettu pakse addeham ,malayalam
2376,ella raksasa cintanegalannu ,kannada
2377,farmer okay so ,hindi
2378,the miser and ,english
2379,prajekt bernanke ane ,telugu
2380,elattil vitappattatu.avaratu carkka ,tamil
2381,parannu ‘alla ni ,malayalam
2382,kolluvudu avasyaka manava ,kannada
2383,the reason he ,hindi
2384,his gold once ,english
2385,peruto sanvatsarala tarabadi ,telugu
2386, pavuntukkum cumar ,tamil
2387,nambar  tanne ,malayalam
2388,kallasagane mattu antahude ,kannada
2389,said the same ,hindi
2390,upon a time ,english
2391,amalu cesina karyakramanni ,telugu
2392,rupay oru koti ,tamil
2393,aniyum’ a prasasta ,malayalam
2394,visayagalu. linga taratamyavu ,kannada
2395,thing i actually ,hindi
2396,there was a ,english
2397,nivedincindi idi prakatana ,telugu
2398,avaratu kataici uyil ,tamil
2399,jelsi enikk kututal ,malayalam
2400,"rastradalli sanskrtika, samajika ",kannada
2401,feel thats why ,hindi
2402,miser hated spending ,english
2403,sevala potilo prayojananni ,telugu
2404, pavuntukkum  ,tamil
2405,praceadanam nalki pratiksakalilekkuyaran ,malayalam
2406,arthika mattu saiksanika ,kannada
2407,we came in ,hindi
2408,gold so he ,english
2409,pondadaniki gata prakatanala ,telugu
2410,munname arintiruntum enta ,tamil
2411,atenne nirbbandhiccu” reanaldea ,malayalam
2412,vyatyasagalannu taruttade adu ,kannada
2413,idea when we ,hindi
2414,never used any ,english
2415,bid‌la nundi samacaranni ,telugu
2416,tataiyuma   ,tamil
2417,yunairradinu venti adyamayi ,malayalam
2418,desavannu hindakke talluttade. ,kannada
2419,are in a ,hindi
2420,gold he had ,english
2421,upayogince prajekt. ḍisembar‌lo ,telugu
2422,inti'aracu erpatuttatalal avai ,tamil
2423,kalikkalatil iranniyat bealttan ,malayalam
2424,bharatada sanvidhanadalli ullekhisalada ,kannada
2425,major project so ,hindi
2426,he had dug ,english
2427,gugul‌pai padi yues ,telugu
2428,tani napar vacam ,tamil
2429,vandarelsinetire ttin yunairrad ,malayalam
2430,samanateya hakkannu khacitapadisikollalu ,kannada
2431,later we put ,hindi
2432,up a whole ,english
2433,rastralu dakhalu cesina ,telugu
2434,cellum matipparra nilai ,tamil
2435,jayicca kaliyil am ,malayalam
2436,mahileyarige adhikara niduvudu ,kannada
2437,that we can ,hindi
2438,i'm used to ,english
2439,yantitrast davaku sambandhincina ,telugu
2440,antap porutkalukku erpattatu. ,tamil
2441,minirril pakarakkaranayittan yunairradile ,malayalam
2442,antaha dustara nirmulanege ,kannada
2443,make that business ,hindi
2444,bury the gold ,english
2445,patralalo idi velladaindi. ,telugu
2446,vimarcanankal  pakatcinkin ,tamil
2447,tanre adya geal ,malayalam
2448,atyanta parinamakari margavagide. ,kannada
2449,because its a ,hindi
2450,nether tree in ,english
2451,viniyogadarulu kilaka padalu ,telugu
2452,tukkutantanai pakat cin ,tamil
2453,netiyat peartsmettinetire oru ,malayalam
2454,linga samanatege adyate ,kannada
2455,major problems faced ,hindi
2456,his garden everyday ,english
2457,aparetarlu upayoginci korukunna ,telugu
2458,kin tukkutantanaiyin potu ,tamil
2459,phrikikkiluteyan a kali ,malayalam
2460,niduvudu bharatadadyanta mahila ,kannada
2461,by all the ,hindi
2462,he goes in ,english
2463,samacaranni vetakadam kudirela ,telugu
2464,vellaiyarkal ketta tukkutantanai ,tamil
2465,yunairrad ttin jayiccu ,malayalam
2466,sabalikaranavannu uttejiside. mahila ,kannada
2467,farmers very nice ,hindi
2468,there they try ,english
2469,gugul kotla veb ,telugu
2470,ankikarikkum pattirattil kanti ,tamil
2471,reanaldea tanneyan cuvanna ,malayalam
2472,sabalikaranada unnata guriyannu ,kannada
2473,maybe tmb benali ,hindi
2474,to dig it ,english
2475,pejilaku sucikalanu ketayistundi. ,telugu
2476,kaiyoppam ittar. ti ,tamil
2477,cekuttanmarute ayiramatte geal ,malayalam
2478,"sadhisalu, balyadindalu prati ",kannada
2479,app have your ,hindi
2480,up and look ,english
2481, melo gugul ,telugu
2482,lejant aḥp pakatcin ,tamil
2483,netiyat   ,malayalam
2484,kutumbadalli pracara mattu ,kannada
2485,number okay valuation ,hindi
2486,at the gold ,english
2487,sodhanalo kotta vyaktigata ,telugu
2488,enra inti tiraippatattil ,tamil
2489,okteabar am tiyati ,malayalam
2490,prasara madabeku. mahileyaru ,kannada
2491,mara first round ,hindi
